City_ID!,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Ndjole,GA,2023-01-08 18:33:41,-0.1783,10.7649,24.12,94,54,0.88
274,Tsiroanomandidy,MG,2023-01-08 18:33:42,-18.7667,46.0333,21.07,91,100,1.23
275,Jalalpur,PK,2023-01-08 18:33:42,32.6374,74.2183,9.93,81,40,0.0
276,Chiredzi,ZW,2023-01-08 18:34:43,-21.05,31.6667,17.55,82,78,1.97
277,Soyo,AO,2023-01-08 18:34:43,-6.1349,12.3689,25.56,87,100,3.82
278,Umm Lajj,SA,2023-01-08 18:34:43,25.0213,37.2685,21.8,53,97,2.38
279,Gornopravdinsk,RU,2023-01-08 18:34:44,60.05,69.9,-28.8,91,100,5.69
280,Lvov,UA,2023-01-08 18:34:44,49.8383,24.0232,1.5,96,100,6.7
281,Luangwa,ZM,2023-01-08 18:34:45,-15.6167,30.4167,21.55,97,98,1.52
282,Gazalkent,UZ,2023-01-08 18:34:45,41.5581,69.7708,4.8,93,100,0.94
283,Hearst,CA,2023-01-08 18:34:45,49.6835,-83.6665,0.14,86,100,5.15
284,Margate,GB,2023-01-08 18:34:46,51.3813,1.3862,8.28,82,100,3.13
285,Meulaboh,ID,2023-01-08 18:34:46,4.1363,96.1285,23.83,89,100,1.37
286,Khorixas,NA,2023-01-08 18:34:47,-20.3667,14.9667,23.47,29,10,7.1
287,Qasigiannguit,GL,2023-01-08 18:34:47,68.8193,-51.1922,-16.86,85,44,1.57
288,Kasongo-Lunda,CD,2023-01-08 18:34:48,-6.4667,16.8167,20.98,94,100,0.62
289,Mailsi,PK,2023-01-08 18:34:48,29.8003,72.1758,13.56,17,100,1.99
290,Cascais,PT,2023-01-08 18:29:57,38.6979,-9.4215,17.74,99,100,7.6
